match_id,pitch,players_a,players_b,true_team_a_strength,true_team_b_strength,true_probability_a,goals_a,goals_b
1,box,"41,8,2,18,16,15","9,7,35,6,38,28",1616.032,1575.563,0.557977,11,9
2,box,"46,42,45,35,27,15","29,38,18,1,11,28",1388.055,1595.75,0.232261,10,17
3,box,"6,25,7,23,45,39","17,3,30,35,8,47",1521.405,1522.475,0.49846,10,3
4,hf,"13,46,5,3,43,15","19,6,44,7,25,18",1549.428,1567.543,0.473954,11,9
5,box,"43,18,45,44,42,5","39,41,11,35,16,40",1402.235,1461.85,0.415039,5,10
6,hf,"21,4,15,3,48,26","18,5,14,37,44,40",1572.38,1494.432,0.610332,11,10
7,box,"30,10,17,9,16,36","35,46,38,28,40,26",1577.168,1408.082,0.725785,11,6
8,box,"4,8,10,41,11,28","39,5,25,40,30,34",1615.543,1493.075,0.669292,10,4
9,hf,"8,44,35,18,42,22","48,19,28,11,30,1",1478.645,1534.237,0.420673,9,11
10,hf,"12,33,7,41,20,45","47,39,13,10,24,11",1495.103,1498.805,0.494673,7,8
11,hf,"21,32,2,8,24,20","16,4,42,37,6,38",1624.593,1543.07,0.615215,7,2
12,hf,"35,9,47,43,31,36","11,17,34,39,28,14",1397.593,1541.067,0.304513,4,8
13,box,"46,20,26,43,42,24","29,34,44,8,16,15",1417.25,1523.852,0.351227,6,11
14,box,"1,5,46,41,4,15","47,3,22,42,33,16",1597.82,1488.348,0.652528,10,6
15,box,"37,48,31,16,46,27","13,7,41,28,23,39",1382.657,1525.988,0.304686,5,10
16,box,"42,7,4,26,22,47","16,13,41,35,29,9",1507.603,1534.49,0.461384,13,11
17,box,"36,7,4,42,35,1","6,16,11,27,32,31",1595.332,1577.192,0.526082,10,7
18,hf,"17,30,19,28,36,43","32,10,13,46,14,4",1483.225,1568.53,0.379645,6,7
19,hf,"4,48,38,31,33,34","11,47,44,6,12,5",1448.018,1514.35,0.405684,8,11
20,hf,"37,16,38,39,3,40","6,27,46,48,34,21",1497.827,1424.938,0.603382,14,10
21,hf,"16,17,26,9,43,42","20,30,21,5,1,41",1505.56,1602.517,0.363981,7,9
22,hf,"35,14,33,17,9,23","5,16,24,19,11,29",1563.218,1610.787,0.431968,3,4
23,box,"42,34,1,43,36,20","7,9,17,8,48,44",1493.395,1499.767,0.490831,10,8
24,hf,"17,33,32,48,4,6","41,28,18,3,1,22",1522.158,1627.625,0.352718,6,8
25,hf,"48,29,36,28,46,1","8,5,10,35,3,24",1436.133,1653.655,0.222327,8,14
26,hf,"20,24,3,23,14,16","7,45,36,27,10,43",1632.33,1470.532,0.717356,14,6
27,hf,"27,2,12,22,48,43","16,18,11,7,25,3",1488.562,1658.378,0.27338,11,16
28,hf,"30,23,20,15,45,2","13,26,22,18,5,39",1553.308,1572.3,0.472696,5,4
29,hf,"22,2,8,17,12,38","45,3,7,39,28,23",1623.615,1540.117,0.617903,12,10
30,box,"33,8,25,37,13,17","3,28,1,34,35,44",1557.06,1566.767,0.486035,10,4
31,box,"8,47,20,33,46,43","27,21,26,19,36,9",1389.125,1555.698,0.277104,4,10
32,box,"12,40,37,20,26,36","1,45,19,14,28,21",1488.18,1570.55,0.383632,6,10
33,box,"48,11,43,6,19,33","41,40,22,45,16,20",1462.368,1447.828,0.520913,10,6
34,hf,"5,30,27,41,37,13","25,32,26,16,10,1",1521.083,1620.423,0.360811,4,10
35,hf,"28,15,12,45,34,30","4,36,16,8,43,9",1489.458,1579.833,0.372796,2,3
36,hf,"39,21,29,40,33,28","36,46,11,31,41,17",1472.602,1451.287,0.530636,10,11
37,box,"32,41,16,18,29,5","19,46,45,22,21,35",1545.677,1432.213,0.657719,12,8
38,hf,"14,5,27,46,22,35","30,45,4,48,41,25",1515.87,1411.407,0.645963,6,5
39,box,"37,25,31,1,23,20","47,27,35,40,15,32",1578.875,1416.817,0.71766,10,6
40,box,"44,26,11,30,9,40","35,2,47,38,37,41",1494.85,1421.17,0.604473,10,8
41,box,"17,25,21,14,30,46","22,47,18,27,48,6",1507.325,1427.57,0.612802,8,5
42,box,"15,42,5,47,3,2","16,13,43,10,45,9",1577.467,1513.832,0.590568,10,5
43,hf,"24,11,39,46,8,47","20,7,38,2,42,37",1431.643,1546.812,0.340075,6,12
44,box,"46,13,5,38,41,16","7,20,39,8,37,3",1486.695,1600.848,0.341387,7,10
45,hf,"22,1,27,32,7,28","24,41,30,10,43,12",1617.033,1496.953,0.666242,12,7
46,hf,"35,31,30,28,38,18","21,16,6,43,29,41",1485.68,1506.477,0.470107,5,6
47,hf,"32,21,12,48,14,23","17,22,18,39,40,36",1491.508,1485.74,0.508301,13,9
48,box,"32,36,16,45,31,42","48,29,2,6,19,15",1422.81,1556.65,0.316383,9,13
49,box,"36,34,23,28,48,22","46,30,18,20,17,15",1435.258,1513.585,0.38915,7,10
50,box,"45,12,13,14,31,18","38,34,39,19,7,46",1528.92,1456.973,0.602085,10,7
51,box,"9,18,3,4,36,19","48,41,32,7,1,37",1654.552,1480.883,0.731003,9,6
52,hf,"17,31,8,5,26,32","45,37,4,10,39,41",1584.882,1470.843,0.658464,13,8
53,hf,"36,27,39,46,40,15","34,25,29,44,20,28",1417.087,1483.598,0.405434,6,5
54,box,"14,41,48,17,43,6","11,16,12,36,5,42",1437.188,1563.163,0.326255,7,10
55,hf,"15,19,46,47,30,5","48,17,38,13,28,8",1453.722,1483.928,0.456638,5,10
56,hf,"5,4,11,20,39,37","19,29,8,30,45,26",1593.803,1504.358,0.625951,8,7
57,hf,"6,39,3,28,21,47","17,2,48,15,37,41",1522.413,1479.627,0.561266,8,10
58,box,"12,31,34,42,29,18","48,38,28,32,6,47",1502.31,1379.64,0.669549,12,9
59,box,"22,27,45,32,19,43","26,36,3,30,6,21",1445.032,1594.103,0.297731,8,14
60,box,"1,43,35,30,27,4","13,34,24,32,29,47",1568.475,1456.977,0.655168,10,5
61,box,"45,32,8,2,41,39","16,11,20,36,1,43",1493.475,1571.813,0.389135,10,13
62,box,"8,42,10,32,19,33","18,27,31,40,16,30",1539.468,1508.37,0.544635,5,8
63,box,"5,18,27,22,33,47","1,19,20,38,39,32",1500.53,1553.295,0.424644,6,7
64,hf,"25,30,21,13,16,37","48,15,27,3,46,31",1541.947,1456.223,0.620922,9,5
65,box,"43,42,10,32,3,9","33,38,22,7,29,39",1547.602,1508.965,0.555375,10,4
66,hf,"10,5,31,17,22,40","26,6,44,35,25,21",1568.028,1509.613,0.583283,7,8
67,box,"40,5,16,41,44,19","15,6,28,7,39,29",1481.875,1575.237,0.368785,6,10
68,box,"4,19,23,24,28,10","16,34,27,37,12,11",1621.027,1548.627,0.60271,10,5
69,box,"32,38,10,15,30,41","17,44,42,1,43,19",1499.41,1490.697,0.512537,7,10
70,hf,"41,28,45,17,30,20","13,25,31,7,16,48",1460.86,1505.615,0.435946,7,11
71,hf,"43,26,18,1,37,4","39,32,19,15,23,42",1582.52,1493.653,0.625172,6,5
72,hf,"47,43,44,9,41,7","46,3,20,29,42,24",1395.673,1508.108,0.343614,8,13
73,hf,"48,27,12,13,9,35","24,34,33,18,11,17",1494.067,1557.948,0.409089,7,11
74,box,"22,8,30,5,10,15","26,36,24,6,42,1",1626.597,1573.367,0.57601,10,8
75,hf,"25,41,24,7,44,15","31,2,40,36,21,43",1507.088,1493.547,0.519478,8,9
76,box,"42,27,8,9,3,44","20,32,46,7,16,35",1555.937,1502.355,0.576505,4,3
77,box,"27,38,10,48,42,7","32,40,45,18,3,24",1450.945,1507.88,0.41879,10,8
78,hf,"24,35,42,23,4,26","18,13,8,30,6,14",1538.277,1620.198,0.384243,7,10
79,hf,"22,16,9,37,14,5","36,44,38,41,15,48",1604.142,1350.847,0.811239,11,4
80,box,"18,10,9,35,17,12","8,2,46,1,23,16",1600.603,1633.56,0.452713,7,10
81,hf,"8,5,31,29,24,33","38,7,45,43,15,3",1576.427,1509.472,0.595181,6,8
82,box,"42,2,4,31,26,28","7,32,29,5,6,21",1588.218,1620.083,0.454271,9,10
83,box,"21,25,39,34,19,30","33,46,28,7,8,36",1507.123,1504.078,0.504382,6,10
84,box,"30,26,27,7,21,28","44,17,24,10,31,5",1560.58,1551.363,0.513261,10,7
85,hf,"9,36,4,38,47,44","22,8,27,23,28,46",1444.013,1515.72,0.398246,6,7
86,hf,"37,33,14,10,43,31","15,7,23,36,24,8",1489.808,1592.73,0.35607,5,6
87,hf,"36,40,47,44,42,48","2,39,18,45,12,46",1254.383,1479.72,0.214646,9,14
88,box,"1,12,10,37,43,26","5,46,2,6,34,14",1567.215,1596.747,0.457603,10,7
89,box,"37,39,6,4,10,11","40,45,46,18,29,28",1603.77,1402.14,0.761455,11,7
90,hf,"8,23,28,48,19,38","32,34,20,3,15,26",1472.81,1585.35,0.343478,7,12
91,hf,"14,9,17,19,21,8","1,32,28,12,47,25",1626.912,1528.487,0.637974,14,10
92,hf,"43,23,5,26,3,28","2,30,46,21,37,48",1580.115,1431.598,0.7016,9,5
93,box,"8,26,2,21,11,40","30,24,6,28,7,16",1609.328,1600.182,0.51316,12,8
94,hf,"15,22,11,5,33,41","8,34,44,13,23,38",1566.518,1500.06,0.594492,6,9
95,box,"10,17,13,12,39,48","42,5,45,32,30,37",1495.302,1441.778,0.576423,5,10
96,box,"40,21,41,47,10,29","5,31,43,20,18,4",1427.348,1579.205,0.29439,7,13
97,hf,"24,19,5,42,6,40","39,33,25,30,38,36",1546.735,1451.945,0.633127,9,6
98,hf,"37,42,13,21,39,31","33,10,4,29,7,22",1467.243,1624.718,0.287717,8,15
99,hf,"3,16,46,29,45,34","43,40,11,24,39,19",1474.638,1470.3,0.506243,7,6
100,hf,"41,42,22,5,46,7","36,25,19,17,10,44",1483.067,1514.53,0.454844,9,6
101,hf,"42,45,43,26,9,39","6,20,36,25,22,44",1404.058,1516.25,0.34393,4,9
102,hf,"44,34,6,42,43,28","33,24,2,41,20,12",1428.252,1577.05,0.29806,10,12
103,hf,"13,15,9,10,5,19","7,33,35,34,3,22",1652.072,1580.845,0.601091,6,5
104,hf,"10,11,12,45,40,47","29,3,27,24,16,42",1437.688,1565.717,0.323663,4,8
105,box,"15,35,16,20,31,13","24,37,29,30,19,25",1556.932,1518.207,0.5555,10,7
106,box,"17,4,42,31,24,36","7,34,8,19,6,11",1533.43,1634.028,0.359142,5,10
107,box,"15,29,23,2,27,4","26,33,24,16,25,6",1647.013,1573.552,0.604172,13,7
108,box,"42,22,10,9,3,19","31,45,48,29,1,6",1614.943,1478.293,0.687105,11,7
109,hf,"39,34,28,8,19,16","20,45,4,43,27,30",1541.953,1484.188,0.582373,8,7
110,hf,"41,33,37,16,10,19","28,1,40,23,45,46",1516.488,1459.448,0.581358,17,10
111,box,"5,34,35,33,45,36","2,25,31,3,41,24",1455.385,1605.775,0.296147,6,13
112,hf,"47,43,41,7,38,22","9,3,23,35,48,12",1400.672,1536.003,0.314529,2,4
113,box,"31,41,12,9,5,30","3,19,13,42,40,39",1560.375,1520.262,0.557473,10,8
114,hf,"3,42,13,19,23,4","47,22,18,8,24,28",1626.78,1506.963,0.665905,6,3
115,hf,"25,22,12,32,45,24","34,18,6,28,40,39",1502.965,1503.465,0.49928,7,8
116,box,"6,21,43,19,20,29","39,28,11,46,23,42",1543.257,1445.115,0.637597,9,5
117,hf,"18,41,4,5,43,47","26,24,33,11,2,10",1475.298,1625.183,0.296753,5,8
118,box,"9,5,16,42,24,44","25,37,3,39,10,29",1530.217,1560.177,0.456991,3,10
119,hf,"26,21,42,18,16,8","2,12,32,34,25,36",1555.043,1564.922,0.485788,7,6
120,hf,"40,19,45,32,13,8","9,5,29,12,48,6",1491.798,1555.968,0.408688,7,12
121,box,"46,5,36,35,19,20","11,41,12,24,33,15",1493.417,1548.818,0.42094,13,9
122,hf,"36,37,24,30,48,9","40,6,5,20,26,31",1436.668,1565.635,0.322481,3,7
123,box,"5,9,21,42,48,29","30,34,23,47,36,12",1484.435,1443.468,0.558684,6,7
124,hf,"34,10,20,11,45,21","15,23,48,19,6,17",1528.183,1523.435,0.506833,11,10
125,hf,"40,35,6,33,42,11","38,44,10,43,22,37",1492.42,1431.525,0.586748,16,9
126,hf,"37,17,42,14,48,27","40,41,2,32,35,19",1426.085,1507.81,0.38451,8,10
127,box,"44,26,20,30,5,4","11,29,27,31,45,14",1566.982,1504.292,0.589252,8,5
128,box,"23,26,9,24,33,36","7,21,16,30,8,18",1540.792,1609.357,0.402588,8,14
129,box,"27,16,11,21,37,45","13,46,32,33,30,40",1499.318,1437.96,0.587395,7,11
130,box,"16,14,38,23,4,44","19,32,39,31,42,35",1544.422,1448.302,0.634903,11,7
131,hf,"24,26,48,3,47,4","37,36,13,46,41,19",1483.997,1432.075,0.57417,7,5
132,hf,"40,44,48,8,9,7","26,24,22,36,41,10",1458.872,1517.988,0.415736,9,7
133,hf,"9,46,22,31,34,30","10,39,33,48,21,38",1481.355,1428.867,0.574967,7,5
134,hf,"22,33,47,35,32,37","20,31,2,24,48,8",1409.908,1538.982,0.322347,5,6
135,box,"47,45,41,2,39,31","17,38,37,15,4,43",1395.545,1516.673,0.332418,4,6
136,box,"10,44,16,3,37,8","13,2,29,21,27,48",1578.552,1527.7,0.572663,10,6
137,box,"48,47,4,9,34,14","36,21,31,44,25,41",1455.408,1439.635,0.522684,5,10
138,box,"47,44,42,45,17,40","31,13,16,18,36,20",1309.933,1551.902,0.198948,6,13
139,hf,"14,45,46,32,21,31","23,36,18,19,8,37",1431.495,1542.947,0.344892,11,12
140,hf,"23,10,19,3,46,6","48,29,17,31,14,13",1597.238,1484.952,0.656193,13,10
141,box,"18,9,7,40,38,16","43,4,34,15,39,41",1556.912,1480.675,0.607986,10,8
142,hf,"9,1,36,11,27,42","31,43,13,19,21,39",1583.953,1489.128,0.633174,11,7
143,hf,"37,15,35,3,12,27","44,45,26,32,42,19",1575.095,1402.035,0.730313,14,7
144,box,"7,22,19,30,42,35","34,32,9,33,45,18",1518.923,1484.743,0.549031,11,8
145,box,"12,1,22,19,37,13","48,40,26,28,33,21",1618.183,1422.722,0.754946,10,5
146,hf,"21,16,1,17,25,47","29,18,22,20,38,37",1552.553,1512.11,0.557941,8,6
147,hf,"8,30,20,11,26,33","46,48,19,24,15,38",1570.717,1406.438,0.720242,9,7
148,hf,"39,24,27,45,36,31","35,14,16,48,6,34",1432.307,1481.93,0.429068,8,12
149,hf,"4,36,33,13,37,35","10,11,21,34,29,8",1526.38,1594.42,0.403315,7,8
150,hf,"29,4,30,9,33,27","46,37,47,36,42,20",1583.013,1341.083,0.801017,12,9
151,box,"48,14,38,5,3,28","23,45,35,4,41,31",1531.835,1474.338,0.581997,6,3
152,box,"42,27,24,25,29,45","43,6,35,9,23,8",1452.017,1558.555,0.35131,5,10
153,box,"15,1,2,20,30,35","28,43,25,48,16,44",1640.868,1381.718,0.816346,16,11
154,hf,"8,3,43,27,40,2","16,14,5,7,47,29",1590.182,1547.158,0.561601,8,13
155,hf,"26,29,15,35,14,4","9,33,19,46,37,21",1586.225,1490.21,0.634763,7,3
156,box,"16,20,10,43,34,15","27,47,18,4,36,12",1536.185,1512.703,0.533741,6,7
157,box,"43,25,34,21,27,44","10,20,47,12,35,31",1443.392,1482.752,0.443597,10,5
158,hf,"4,36,27,46,47,34","9,25,16,17,14,22",1419.573,1606.07,0.254726,5,13
159,box,"6,35,13,4,18,25","39,42,3,5,46,36",1617.633,1485.065,0.682032,15,10
160,hf,"1,14,13,8,31,16","39,47,26,43,36,21",1651.473,1381.072,0.825859,13,9
161,box,"23,20,17,24,33,32","30,7,31,21,14,45",1546.068,1515.68,0.543621,10,4
162,box,"36,38,47,27,19,10","13,22,15,25,37,16",1451.252,1562.16,0.345599,3,10
163,hf,"32,47,42,48,30,11","23,43,9,35,45,12",1352.163,1467.918,0.339317,6,7
