rank,alias,conservative,rating,rd,matches,wins,draws,losses,win_percent
1,Aron,1224,1626,134,4,3,1,0,75.00
2,Julian,1207,1641,145,3,3,0,0,100.00
3,Felix,1206,1638,144,4,3,1,0,75.00
4,Malte,1178,1571,131,5,3,0,2,60.00
5,Micha,1178,1630,151,2,2,0,0,100.00
6,David L.,1178,1630,151,2,2,0,0,100.00
7,Paul,1170,1579,136,2,2,0,0,100.00
8,Tim,1170,1588,140,3,2,1,0,66.67
9,Ingo,1110,1544,145,3,2,0,1,66.67
10,Bernhard,1109,1542,144,4,2,1,1,50.00
11,Max (Fe...,1094,1555,153,0,0,0,0,0.00
12,Matthias,1094,1555,153,1,1,0,0,100.00
13,Lance,1088,1518,143,6,3,1,2,50.00
14,Nik,1049,1488,146,5,2,0,3,40.00
15,Lücke,1049,1488,146,5,2,0,3,40.00
16,Phil,1037,1467,143,5,2,1,2,40.00
17,Samuel,1037,1500,154,1,0,1,0,0.00
18,Calvin,1037,1500,154,1,0,1,0,0.00
19,Lars,1037,1500,154,1,0,1,0,0.00
20,Immi,1037,1500,154,1,0,1,0,0.00
21,Falk,1021,1500,160,1,0,1,0,0.00
22,Franz,1021,1500,160,1,0,1,0,0.00
23,Fabian,997,1413,139,3,0,1,2,0.00
24,Kevin,993,1422,143,8,3,1,4,37.50
25,Stefan,993,1411,140,3,0,1,2,0.00
26,Rashad,987,1409,141,2,0,0,2,0.00
27,Mo,983,1412,143,6,2,1,3,33.33
28,Can (An...,974,1372,133,3,0,0,3,0.00
29,Konsti,967,1405,146,7,2,0,5,28.57
30,Yannik,758,1186,143,8,0,1,7,0.00
